No,Title,Short description,Image Link,Image caption
SF59,சனத் ஜெயசூர்யா,"தேஷபந்து சனத் தேரன் ஜெயசூர்யா இலங்கை தேசிய அணியின் முன்னாள் கேப்டனாகவும், முன்னாள் இலங்கை கிரிக்கெட் வீரரும் ஆவார். அனைத்து காலத்திலும் ஒருநாள் சர்வதேச போட்டிகளில் மிகச் சிறந்த ஆட்டக்காரராக கருதப்பட்டுள்ளார். அவருடைய வலிமையான பேட்டிங் திறமையாலும், ஒருநாள் போட்டிகளில் வெற்றி பெற செய்யும் ஆல்ரவுண்ட் திறனாலும் நன்கு அறியப்பட்டவர்.",https://en.wikipedia.org/wiki/Sanath_Jayasuriya#/media/File:Sanath_jayasuriya_portrait.jpg,சனத் ஜெயசூர்யா
SF60,முத்தையா முரளிதரன்,"தேஷபந்து முத்தையா முரளிதரன் முன்னாள் இலங்கை கிரிக்கெட் வீரர் ஆவார், இவர் 2002 ஆம் ஆண்டில் விஸ்டன் கிரிக்கெட்டர்ஸ் அல்மனாக்கால் மிகச்சிறந்த டெஸ்ட் பவுலராக மதிப்பிடப்பட்டுள்ளார்.",https://en.wikipedia.org/wiki/Muttiah_Muralitharan#/media/File:Photograph_of_Muttiah_Muralitharan.jpg,முத்தையா முரளிதரன்
SF61,அர்ஜுன ரணதுங்கா,"தேஷமன்யா அர்ஜுன ரணதுங்கா இலங்கையின் முன்னாள் கிரிக்கெட் வீரரும், 1996 உலகக் கோப்பையை வென்ற கிரிக்கெட் அணியின் கேப்டனாகவும் ஆவார். கேப்டன் கூல் என்று பெயர் பெற்றவர், கிரிக்கெட் உலகில் ஒரு பெரும் சக்தியாக இலங்கையை உயர்த்துவதில் முன்னோடியாகக் கருதப்படுகிறார். ரணதுங்கா 2005 ஆம் ஆண்டில் தனது அரசியல் வாழ்க்கையைத் தொடங்கினார், தற்போது இவர் போக்குவரத்து மற்றும் சிவில் விமானப் போக்குவரத்து அமைச்சராக உள்ளார்.",https://en.wikipedia.org/wiki/Arjuna_Ranatunga#/media/File:Arjuna_Ranatunga.jpg,அர்ஜுன ரணதுங்கா
SF62,குமார் சங்ககரா,"குமார் சங்ககரா இலங்கை கிரிக்கெட் அணியின் வர்ணனையாளராகவும், முன்னாள் கிரிக்கெட் வீரராகவும, கேப்டனாகவும் ஆவார். இவர் உலகின் மிகவும் செல்வாக்குள்ள கிரிக்கெட் வீரர்களில் ஒருவராகவும், எல்லா நேரத்திலும் மிகப்பெரிய பேட்ஸ்மேனாகவும் பரவலாக கருதப்படுகிறார்.",https://en.wikipedia.org/wiki/Kumar_Sangakkara#/media/File:Sangakkara_(portrait).jpg,குமார் சங்ககரா
SF63,கிளைவ் லாயிட்,"கிளைவ் ஹூபெர்ட் லாயிட் சிபிஇ ஏஒ முன்னாள் மேற்கிந்திய தீவு அணியின் ஆட்டக்காரர். 1971 ஆம் ஆண்டில் இவர் விஸ்டன் கிரிக்கெட் வீரராக தேர்ந்தெடுக்கப்பட்டார். 1974 முதல் 1985 வரை வெஸ்ட் இண்டீஸ் அணிக்கு கேப்டனாக இருந்தார், இந்த காலகட்டத்தில் டெஸ்ட் போட்டிகளில் இந்நாட்டின் ஆதிக்கம் பெரிதும் பார்க்கப்பட்டது.",https://en.wikipedia.org/wiki/Clive_Lloyd#/media/File:Clive_Lloyd_at_%27Idea_Champions_Of_The_World%27_press_meet.jpg,கிளைவ் லாயிட்
SF64,கர்ட்லி அம்புரோஸ்,"சர் கர்ட்லி எல்கான் லைன்வால் அம்புரோஸ் கேசிஎன், ஆன்டிகுவாவிலுள்ள ஒரு முன்னாள் கிரிக்கெட் வீரர் ஆவார், இவர் மேற்கிந்திய தீவுகளுக்காக 98 டெஸ்ட் போட்டிகளில் ஆடியுள்ளார். ஒரு வேக பந்து வீச்சாளராக, 20.99 சராசரியில் 405 டெஸ்ட் விக்கெட்டுகளை எடுத்து, இவருடைய காலத்தில் உலகின் சிறந்த பந்து வீச்சாளராக ஐசிசி ஆட்டக்காரர் தரவரிசையில் முதலிடத்தைப் பிடித்தார்.",https://en.wikipedia.org/wiki/Curtly_Ambrose#/media/File:Curtly_ambrose2_crop.jpg,கர்ட்லி அம்புரோஸ்
SF65,விவ் ரிச்சர்ட்ஸ்,"விவ் ரிச்சர்ட்ஸ் என அறியப்படுகிற சர் ஐசக் விவியன் அலெக்ஸாண்டர் ரிச்சர்ட்ஸ், கேஎன்எச், ஓபிஇ, ஆன்டிகுவா முன்னாள் கிரிக்கெட் வீரர் ஆவார், இவர் டெஸ்ட் மற்றும் சர்வதேச நிலைகளில் வெஸ்ட் இண்டீஸ் அணிக்காக ஆடியுள்ளார். எல்லா காலத்திலும் மிகச்சிறந்த பேட்ஸ்மேனாகக் கருதப்படுகிறார்.",https://en.wikipedia.org/wiki/Viv_Richards#/media/File:Vivian_richards_crop.jpg,விவ் ரிச்சர்ட்ஸ்
SF66,வக்கார் யூனஸ்,"வக்கார் யூனஸ் பாகிஸ்தான், ஆஸ்திரேலியா கிரிக்கெட் அணிகளுக்குப் பயிற்சியாளராகவும், வர்ணனையாளராவும், பாகிஸ்தான் அணியின் கேப்டனாகவும் இருந்த முன்னாள் கிரிக்கெட் வீரர் ஆவார். இவர் ஒரு வலது கை வேகப்பந்து வீச்சாளராக, எல்லா காலத்திலும் சிறந்த பந்து வீச்சாளர்களில் ஒருவராகக் கருதப்படுகிறார். இவர் பாகிஸ்தானிய கிரிக்கெட் அணியின் முன்னாள் பயிற்சியாளரும் ஆவார்.",https://en.wikipedia.org/wiki/Waqar_Younis#/media/File:Waqar_younis.jpg,வக்கார் யூனஸ்
SF67,பிரெயன் லாரா,"பிரெயன் சார்லஸ் லாரா, டிசி, ஓசிசி, ஏஎம் ஒரு டிரினிடாடியன் முன்னாள் சர்வதேச கிரிக்கெட் வீரர் ஆவார், எல்லா காலத்திலும் மிகப்பெரிய பேட்ஸ்மேனாக பரவலாக அறியப்படுபவர். பல சந்தர்ப்பங்களில் டெஸ்ட் பேட்டிங் தரவரிசையில் முதலிடத்தில் உள்ளார், பல கிரிக்கெட் சாதனைகளைப் பதிவு செய்துள்ளார்.",https://en.wikipedia.org/wiki/Brian_Lara#/media/File:Brian_Lara_at_2012_Mumbai_Marathon_pre_bash.jpg,பிரெயன் லாரா
SF68,கிராஹம் கூச்,"கிரஹாம் ஆலன் கூச், ஓபிஇ, டிஎல் முன்னாள் இங்கிலாந்து முதல் தர கிரிக்கெட் வீரர் ஆவார், எசெக்ஸ் மற்றும் இங்கிலாந்து அணிகளுக்கு கேப்டனாக இருந்தார். இவர் தனது தலைமுறையில் மிகவும் வெற்றிகரமான சர்வதேச பேட்ஸ்மேனாகத் திகழ்ந்தார், 1973 முதல் 2000 வரை எப்போதும் சிறந்த ரன் குவிப்பவராக இருந்தார், முதல் தர போட்டிகளிலும் வரையறுக்கப்பட்ட ஓவர்கள் கொண்ட போட்டிகளிலும் 67,057 ரன்களை எடுத்தார்.",https://en.wikipedia.org/wiki/Graham_Gooch#/media/File:Graham_Gooch_01.jpg,கிராஹம் கூச்
SF69,ஆண்ட்ரே ரஸ்ஸல்,"ஆண்ட்ரே டுவைன் ரஸ்ஸல் ஒரு ஜமைக்கா கிரிக்கெட் வீரர் ஆவார். மேற்கிந்தியத் தீவுகளுக்காக சர்வதேச அளவிலும் மேற்கு இந்திய உள்ளூர் போட்டிகளில் ஜமைக்கா அணிக்காகவும் ஆல்ரவுண்டராக ஆடுகிறார். மேற்கிந்திய தீவுகளுக்காக நடு வரிசை பேட்ஸ்மேனாக களம் இறங்குகிறார். அதிரடி ஆட்டக்காரராக பரவலாகக் கருதப்பட்ட ரஸ்ஸல், கரீபியன் பிரிமியர் லீக் போட்டியில் ட்ரிம்பகோ நைட் ரைடர்ஸுக்கு எதிராக 40 பந்துகளில் சதம் அடித்து சாதனை படைத்தார்.",https://en.wikipedia.org/wiki/Andre_Russell#/media/File:Andre_Russell_2018_.jpg,ஆண்ட்ரே ரஸ்ஸல்
